image_id,item_id,image_filename,scene_difficulty,ground_truth_label,yolo_label,yolo_confidence,vlm_triggered,vlm_label,yolo_label_correct,vlm_label_correct,notes
img_001,img_001_item_01,potato_salad_leftover_easy_001.webp,easy,馬鈴薯,plate,0.9353,0,plate,0,0,
img_001,img_001_item_02,potato_salad_leftover_easy_001.webp,easy,培根/肉類,plate,0.9353,0,plate,0,0,
img_001,img_001_item_03,potato_salad_leftover_easy_001.webp,easy,洋蔥,plate,0.9353,0,plate,0,0,
img_001,img_001_item_04,potato_salad_leftover_easy_001.webp,easy,香草/香料,plate,0.9353,0,plate,0,0,
img_002,img_002_item_01,chicken_breast_easy_002.jpeg,easy,雞胸肉,chicken,0.1175,1,chicken steak,1,1,
img_003,img_003_item_01,seafood_steamed_egg_hard_003.jpeg,hard,蛤蜊,plate,0.4677,1,"mussels, cheese, tofu, tomato",0,1,
img_003,img_003_item_02,seafood_steamed_egg_hard_003.jpeg,hard,蒸蛋,plate,0.4677,1,"mussel, cheese, tomato",0,0,
img_003,img_003_item_03,seafood_steamed_egg_hard_003.jpeg,hard,蟹管肉,plate,0.4677,1,"mussel, tomato, tofu",0,0,
img_004,img_004_item_01,shrimp_asparagus_easy_004.jpeg,easy,鮮蝦,plate,0.9161,0,plate,0,0,
img_004,img_004_item_02,shrimp_asparagus_easy_004.jpeg,easy,蘆筍,vegetables,0.1100,1,"shrimp, asparagus",1,1,
img_005,img_005_item_01,carrot_scrambled_egg_easy_005.png,easy,紅蘿蔔,rice,0.9005,0,rice,0,0,
img_005,img_005_item_02,carrot_scrambled_egg_easy_005.png,easy,炒蛋,rice,0.9005,0,rice,0,0,
img_006,img_006_item_01,mapo_tofu_easy_006.jpeg,easy,豆腐,pasta,0.3220,1,"tofu, green onion",0,1,
img_006,img_006_item_02,mapo_tofu_easy_006.jpeg,easy,蔥,pasta,0.3220,1,"tofu, minced meat",0,0,
img_007,img_007_item_01,miso_pasta_hard_007.jpeg,hard,蒜頭,plate,0.9434,0,plate,0,0,
img_007,img_007_item_02,miso_pasta_hard_007.jpeg,hard,雞胸肉,plate,0.9434,0,plate,0,0,
img_007,img_007_item_03,miso_pasta_hard_007.jpeg,hard,白菜,plate,0.9434,0,plate,0,0,
img_007,img_007_item_04,miso_pasta_hard_007.jpeg,hard,義大利麵,pasta,0.6021,1,"pasta, chicken, mushrooms, cabbage, cheese, fried egg",1,1,
img_008,img_008_item_01,potato_broccoli_easy_008.jpeg,easy,烤馬鈴薯,baked potatoes,0.4999,1,"brocolis, bread",1,0,
img_008,img_008_item_02,potato_broccoli_easy_008.jpeg,easy,花椰菜,baked potatoes,0.4999,1,"brocolis, bread",0,1,
img_009,img_009_item_01,century_egg_tofu_hard_009.jpeg,hard,皮蛋,plate,0.9574,0,plate,0,0,
img_009,img_009_item_02,century_egg_tofu_hard_009.jpeg,hard,嫩豆腐,vegetables,0.2428,1,"tofu, century egg, chili peppers, garlic",1,1,
img_009,img_009_item_03,century_egg_tofu_hard_009.jpeg,hard,青辣椒,vegetables,0.2428,1,"tofu, century egg, peppers, garlic",1,0,
img_009,img_009_item_04,century_egg_tofu_hard_009.jpeg,hard,紅辣椒,vegetables,0.2428,1,"tofu, century egg, chili, garlic",1,1,
img_010,img_010_item_01,pepper_dried_tofu_easy_010.jpeg,easy,糯米椒,plate,0.9482,0,plate,0,0,
img_010,img_010_item_02,pepper_dried_tofu_easy_010.jpeg,easy,豆干,plate,0.9482,0,plate,0,0,
img_011,img_011_item_01,grilled_mackerel_easy_011.jpeg,easy,魚,plate,0.9067,0,plate,0,0,
img_011,img_011_item_02,grilled_mackerel_easy_011.jpeg,easy,小黃瓜,cucumber,0.4610,1,cucumber,1,1,
img_011,img_011_item_03,grilled_mackerel_easy_011.jpeg,easy,炒蛋,plate,0.9067,0,plate,0,0,
img_011,img_011_item_04,grilled_mackerel_easy_011.jpeg,easy,菠菜,lettuce,0.2264,1,"greens, garlic",1,1,
img_011,img_011_item_05,grilled_mackerel_easy_011.jpeg,easy,蒜頭,vegetables,0.1807,1,fish,1,0,
