label_id,label_zh,label_en,category_group,yolo_class_name,notes
01,香蕉皮,banana_peel,果皮類,banana,熟透後偏黑不易辨識
02,蘋果核,apple_core,果核類,apple,常被誤認為整顆蘋果
03,橘子皮,orange_peel,果皮類,orange,
04,西瓜皮,watermelon_rind,果皮類,watermelon,
05,雞骨頭,chicken_bone,骨頭類,bone,細長形狀易漏偵測
06,豬骨頭,pork_bone,骨頭類,bone,與雞骨頭外型相似易混淆
07,魚骨頭,fish_bone,骨頭類,bone,細小容易漏偵測
08,剩飯,leftover_rice,穀物類,rice,
09,剩麵,leftover_noodles,穀物類,noodle,
10,蛋殼,eggshell,蛋殼類,egg,破碎後難辨識
11,高麗菜葉,cabbage_leaf,葉菜類,cabbage,易與其他葉菜混淆
12,菜梗,vegetable_stem,葉菜類,vegetable,
13,蔥段,scallion,葉菜類,onion,細長易漏偵測
14,豆腐,tofu,豆製品類,tofu,白色易與背景混合
15,茶葉渣,tea_leaves,飲料殘渣類,tea,細小易漏偵測
16,剩菜(混合),leftover_mixed,剩菜類,food,多種食材混合的剩菜
17,馬鈴薯,potato,根莖類,potato,切塊後外觀差異大
18,培根/肉類,bacon_meat,肉類,meat,熟食中的肉類殘餘
19,洋蔥,onion,根莖類,onion,切碎後不易辨識
20,香草/香料,herbs,調味類,herb,細碎的巴西里或蔥花
21,雞胸肉,chicken_breast,肉類,chicken,香煎後外觀與豬排相似
22,蛤蜊,clam,海鮮類,shellfish,帶殼;外殼深色易與碗壁混淆
23,蒸蛋,steamed_egg,蛋類,egg,淡黃色半透明;容易被其他食材覆蓋
24,蟹管肉,crab_stick,海鮮類,seafood,白色帶紅;碎片狀不易辨識
25,鮮蝦,shrimp,海鮮類,shrimp,去殼蝦仁;橘紅色
26,蘆筍,asparagus,蔬菜類,vegetable,綠色長條狀;易與蔥段混淆
27,紅蘿蔔,carrot,根莖類,carrot,切絲後與南瓜絲外觀相似
28,炒蛋,scrambled_egg,蛋類,egg,黃色塊狀;容易與豆腐混淆
29,蔥,green_onion,葉菜類,onion,蔥花點綴;細碎易漏偵測
30,蒜頭,garlic,調味類,garlic,切碎後極小;幾乎不可能單獨偵測
31,白菜,chinese_cabbage,葉菜類,cabbage,與高麗菜外觀相似;易混淆
32,義大利麵,pasta,穀物類,noodle,扁麵/直麵/筆管麵形狀差異大
33,烤馬鈴薯,roasted_potato,根莖類,potato,切塊烤過;金黃色
34,花椰菜,broccoli,蔬菜類,broccoli,深綠色;形狀明顯
35,皮蛋,century_egg,蛋類,egg,深綠色半透明;YOLO 可能無法辨識此類食物
36,嫩豆腐,soft_tofu,豆製品類,tofu,白色切塊;與一般豆腐外觀相似
37,青辣椒,green_chili,蔬菜類,pepper,綠色切段;易與蔥段或糯米椒混淆
38,紅辣椒,red_chili,蔬菜類,pepper,紅色切段;顏色鮮明
39,糯米椒,glutinous_pepper,蔬菜類,pepper,綠色長條;外觀近似青辣椒
40,豆干,dried_tofu,豆製品類,tofu,棕色切條;口感與外觀與一般豆腐差異大
41,魚,fish,海鮮類,fish,煎鯖魚;魚皮深色;完整一片
42,小黃瓜,cucumber,蔬菜類,cucumber,薄片或切段;綠色
43,菠菜,spinach,葉菜類,vegetable,深綠色;長條狀;易與空心菜混淆
44,麵包,bread,穀物類,bread,長棍麵包/吐司;各種形狀差異大
45,生菜,lettuce,葉菜類,vegetable,綠色葉片;常用於三明治或沙拉
46,牛蕃茄,tomato,蔬菜類,tomato,紅色圓形或切片;顏色鮮明
47,酪梨,avocado,水果類,avocado,綠黃色切片;外觀獨特
48,吐司,toast,穀物類,bread,方形烤過的麵包片
49,蘋果,apple,水果類,apple,紅色或綠色;切片後白色果肉
50,藍莓,blueberry,水果類,berry,深藍色小顆粒;成堆出現
51,覆盆莓,raspberry,水果類,berry,紅色小顆粒;與藍莓常混合擺放
52,沙丁魚,sardine,海鮮類,fish,深棕色長條;乾燥外觀
53,地瓜,sweet_potato,根莖類,sweet_potato,金黃色塊狀;與馬鈴薯相似
54,水煮蛋,boiled_egg,蛋類,egg,白色完整蛋型;表面光滑
55,玉米粒,corn,穀物類,corn,黃色小顆粒;成堆出現
56,胡麻醬,sesame_dressing,調味類,sauce,褐色液態;YOLO 不太可能偵測醬料
57,韭菜,leek,葉菜類,vegetable,深綠色長條段;易與蔥段混淆
58,龍鬚菜,chayote_leaves,葉菜類,vegetable,深綠色細長捲曲狀
59,香腸,sausage,肉類,sausage,紅棕色;通常切片或切花
60,柳橙,orange,水果類,orange,黃橘色果肉;與橘子皮不同
61,肉片,meat_slice,肉類,meat,豬肉/牛肉片;炒熟後淺褐色
